Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
15 January 2021,550.75,551.1,541.85,542.8,544.8578122,617838,7964,336633861,310043,50.18,9.25,-7.95
18 January 2021,543.5,548.4,528.8,532.25,539.231543,570935,7757,307866161,191529,33.55,19.6,-11.25
19 January 2021,539.8,547.95,534,546.3,540.4623363,360028,5548,194581574,104850,29.12,13.95,6.5
20 January 2021,546.9,554.5,546.9,550.8,551.9570025,387790,5684,214043406,163589,42.18,7.6,3.9
21 January 2021,554.55,560.85,549.7,552.25,556.1217998,530354,9559,294941421,268029,50.54,11.15,-2.3
22 January 2021,552.25,553.8,530.8,533.55,540.0837536,680878,12631,367731146,263382,38.68,23,-18.7
25 January 2021,534,542.3,531.2,538.1,536.191735,625332,8044,335297850,236553,37.83,11.1,4.1
27 January 2021,538.1,539.25,519.1,522.3,528.2400877,752296,21683,397392905,363921,48.37,20.15,-15.8
28 January 2021,513,530,512.1,528.15,518.8373554,1281014,13243,664637916,742792,57.98,17.9,15.15
29 January 2021,536,544.8,529.85,537,535.9744049,670598,11869,359423364,260174,38.8,14.95,1
01 February 2021,550.2,609.5,550.2,603.95,583.0772377,2578043,39170,1503198191,640538,24.85,59.3,53.75
02 February 2021,613.4,623.9,598.7,617.25,613.0291642,2042403,35847,1252052604,732835,35.88,25.2,3.85
03 February 2021,623,627.5,614,622.25,622.1537375,2689546,11080,1673311096,247382,9.2,13.5,-0.75
04 February 2021,618,631.5,609,627.5,620.9519418,1267484,9387,787046651,783331,61.8,22.5,9.5
05 February 2021,639,639,611.1,614.6,622.4240553,991465,21071,617111666,318582,32.13,27.9,-24.4
08 February 2021,622.3,633.85,622.3,629.55,624.9590539,1482779,15693,926676161,837049,56.45,11.55,7.25
09 February 2021,630.1,643.05,628.75,633.7,636.3252947,748057,10800,476007591,293651,39.26,14.3,3.6
10 February 2021,633,638.2,626.5,632.4,632.8533388,507878,10007,321412288,112275,22.11,11.7,-0.6
11 February 2021,627,633.6,624.2,630.65,628.837154,422086,8873,265423359,96128,22.77,9.4,3.65
12 February 2021,630.4,649.25,630,647.5,641.8997192,506817,7556,325325690,165335,32.62,19.25,17.1
15 February 2021,652,676.5,652,674,666.0039895,909641,13152,605824535,270073,29.69,24.5,22
16 February 2021,674.5,679.3,649.3,658.5,660.8085429,792731,16626,523843417,236688,29.86,30,-16
17 February 2021,655.35,664.75,649.4,657,657.1342436,657655,13781,432167621,195910,29.79,15.35,1.65
18 February 2021,659.95,659.95,637.85,644.55,644.6285802,890825,11583,574251255,450467,50.57,22.1,-15.4
19 February 2021,638,638,618.95,623.9,627.8168458,689108,13605,432633611,212120,30.78,19.05,-14.1
22 February 2021,622.75,629.25,607.5,609.85,616.3423782,485393,9083,299168276,132120,27.22,21.75,-12.9
23 February 2021,613.55,622.9,608.75,616.15,616.5654389,713918,11238,440177165,263607,36.92,14.15,2.6
24 February 2021,612,646.6,582.2,641.4,619.4539612,3960028,55537,2453055031,2021360,51.04,64.4,29.4
25 February 2021,640.15,648.35,626.55,627.95,637.4488835,2165974,27051,1380697708,1170694,54.05,21.8,-12.2
26 February 2021,615.5,615.55,591.05,597.6,604.4929249,3441516,32131,2080372073,2101860,61.07,24.5,-17.9
01 March 2021,606,611.75,600.4,608.15,606.7070498,821597,12555,498468692,210033,25.56,11.35,2.15
02 March 2021,612.4,616.15,598.95,610.5,607.918793,585762,10274,356095728,109079,18.62,17.2,-1.9
03 March 2021,616.2,633.5,613.75,631.85,623.4998418,1836511,23135,1145064318,1412668,76.92,19.75,15.65
04 March 2021,620.4,630.6,615.7,620.9,624.4586833,1063710,7532,664242946,638217,60,14.9,0.5
05 March 2021,615,615,601.5,609.7,608.8211193,1000801,22479,609308785,285806,28.56,13.5,-5.3
08 March 2021,612.55,615.95,601.55,608.15,609.2043052,711132,14557,433224676,173175,24.35,14.4,-4.4
09 March 2021,613.1,628,613.1,625.2,621.7942298,1126796,22551,700635251,597432,53.02,14.9,12.1
10 March 2021,630.4,630.4,621.7,625.75,625.9422347,722839,13898,452455459,455066,62.96,8.7,-4.65
12 March 2021,633,637.75,608.4,612.85,626.9486445,1187019,21749,744199953,568986,47.93,29.35,-20.15
15 March 2021,611.1,612.6,590.65,603.25,609.742453,4022201,26861,2452506704,3453771,85.87,21.95,-7.85
16 March 2021,608.15,608.15,593.6,594.9,599.9796348,497318,7999,298380672,109114,21.94,14.55,-13.25
17 March 2021,595.55,603.55,586.9,589.25,595.4046283,524768,8719,312449296,100434,19.14,16.65,-6.3
18 March 2021,594.3,601.4,575.5,578.35,586.930677,677178,12679,397456542,163544,24.15,25.9,-15.95
19 March 2021,575,588.9,569.8,586.5,577.8163921,829218,11286,479135753,194078,23.4,19.1,11.5
22 March 2021,587.75,587.75,569.6,573.4,576.1451573,715176,12594,412045189,204689,28.62,18.15,-14.35
23 March 2021,577.9,589.25,574.65,586.3,580.1278082,2419610,10328,1403683046,1910523,78.96,14.6,8.4
24 March 2021,580.65,580.65,565,567.45,571.752441,593927,12368,339579212,185259,31.19,15.65,-13.2
25 March 2021,569,579,557.2,571.4,568.3258397,763228,14914,433762194,204035,26.73,21.8,2.4
26 March 2021,582.2,583.7,574.6,578.55,579.8111945,1092574,14178,633486636,560026,51.26,9.1,-3.65
30 March 2021,580.9,592.9,580.9,591.35,588.1467125,940329,11738,553051410,409313,43.53,12,10.45
31 March 2021,588,589.75,579.1,581.25,581.6580011,1272127,14877,739942848,799617,62.86,10.65,-6.75
01 April 2021,587.7,596.1,580.35,593.95,585.4924677,758795,13037,444268757,413639,54.51,15.75,6.25
05 April 2021,593,593,563.6,571.15,573.5468372,860492,16829,493532465,298744,34.72,29.4,-21.85
06 April 2021,572.5,578.25,564.4,565.95,569.8473987,601725,10273,342891426,154981,25.76,13.85,-6.55
07 April 2021,568.4,580,560,577.55,574.3316462,1332613,18677,765361818,681275,51.12,20,9.15
08 April 2021,581.7,585.75,573.25,576.75,578.145791,3042430,13778,1758968099,2706984,88.97,12.5,-4.95
09 April 2021,574.5,579.15,565.05,566.45,571.3217931,834558,20036,476801173,328208,39.33,14.1,-8.05
12 April 2021,548.65,551.8,531.25,538.4,541.7124612,1419739,41878,769090308,590874,41.62,20.55,-10.25
13 April 2021,539.25,563.7,538,560.45,553.0116582,578306,10507,319809960,122960,21.26,25.7,21.2
15 April 2021,564.2,577,554.35,575.5,571.5186704,2126711,13493,1215455043,1529519,71.92,22.65,11.3
16 April 2021,575,577.5,564,566.6,570.0584575,654732,14900,373235514,206757,31.58,13.5,-8.4
19 April 2021,559.65,562.35,531,559.6,544.5640288,956804,14506,521041041,342429,35.79,31.35,-0.05
20 April 2021,564.7,572.55,552.65,559,564.178067,664817,9396,375075170,187465,28.2,19.9,-5.7
22 April 2021,552.8,580.4,547.05,579.15,563.8014103,1666033,13886,939311755,1015249,60.94,33.35,26.35
23 April 2021,573.9,580.4,567.15,570.05,572.9444437,960827,13416,550500491,160090,16.66,13.25,-3.85
26 April 2021,600.3,604.9,587.75,590.75,596.4199808,3104237,57868,1851428972,1014830,32.69,17.15,-9.55
27 April 2021,592.1,601.8,591.1,598.8,597.0525629,518826,8666,309766393,113163,21.81,10.7,6.7
28 April 2021,590.15,622.65,590.15,621.1,611.8025436,1638154,33405,1002226784,843958,51.52,32.5,30.95
29 April 2021,623.45,628.45,609,621.25,619.0063755,911300,13385,564100510,123003,13.5,19.45,-2.2
30 April 2021,609.2,617,598.2,600.4,607.5040452,769431,12341,467432445,147005,19.11,18.8,-8.8
03 May 2021,597.4,598.95,587.45,597,592.1173498,624577,11464,369822878,200297,32.07,11.5,-0.4
04 May 2021,597,608,589,591.55,600.2720397,749806,14273,450087577,174542,23.28,19,-5.45
05 May 2021,596,604.25,584.75,602.65,596.5165766,740049,13083,441451496,183878,24.85,19.5,6.65
